epoch: 0 || Test_Reward: -39.107481905447166 || Final_Distance_to_Target: 0.11322167677128667 || Continuity_Cost: 4.694315791130066 
epoch: 0 || Test_Reward: -64.96439703155527 || Final_Distance_to_Target: 0.47909175289597616 || Continuity_Cost: 2.3548828437924385 
epoch: 1 || Test_Reward: -64.92203958913251 || Final_Distance_to_Target: 0.47909958175341416 || Continuity_Cost: 3.053043782711029 
epoch: 2 || Test_Reward: -64.44822490881215 || Final_Distance_to_Target: 0.47909140998773597 || Continuity_Cost: 1.7799356952309608 
epoch: 3 || Test_Reward: -64.75699415644267 || Final_Distance_to_Target: 0.4790932150654497 || Continuity_Cost: 2.5506701320409775 
epoch: 4 || Test_Reward: -65.19957132709969 || Final_Distance_to_Target: 0.4790936059464987 || Continuity_Cost: 2.938617579638958 
epoch: 5 || Test_Reward: -64.85272882552381 || Final_Distance_to_Target: 0.4790915626929606 || Continuity_Cost: 1.823122426867485 
epoch: 6 || Test_Reward: -64.9467637645141 || Final_Distance_to_Target: 0.4790948832333367 || Continuity_Cost: 2.130156196653843 
epoch: 7 || Test_Reward: -64.95809356800876 || Final_Distance_to_Target: 0.47909270346720756 || Continuity_Cost: 1.8106220290064812 
epoch: 8 || Test_Reward: -64.52223433291202 || Final_Distance_to_Target: 0.4790938112653788 || Continuity_Cost: 2.1893098950386047 
epoch: 9 || Test_Reward: -64.78059685647884 || Final_Distance_to_Target: 0.47909325407018144 || Continuity_Cost: 2.7947528287768364 
epoch: 10 || Test_Reward: -64.72748737763698 || Final_Distance_to_Target: 0.47909483411279574 || Continuity_Cost: 1.3417676091194153 
epoch: 11 || Test_Reward: -64.9802397860817 || Final_Distance_to_Target: 0.479091574818452 || Continuity_Cost: 2.5596093386411667 
epoch: 12 || Test_Reward: -64.56442336760703 || Final_Distance_to_Target: 0.4790917827915138 || Continuity_Cost: 3.350376710295677 
epoch: 13 || Test_Reward: -64.37517355709443 || Final_Distance_to_Target: 0.479092685672726 || Continuity_Cost: 1.2553490698337555 
