epoch: 0 || Test_Reward: -9.08282816182326 || Final_Distance_to_Target: 0.015886099486729435 || Continuity_Cost: 8.2331582903862 || Reached_Distance: 0
epoch: 1 || Test_Reward: -15.195799900203978 || Final_Distance_to_Target: 0.03094043487135169 || Continuity_Cost: 9.876451641321182 || Reached_Distance: 0
epoch: 2 || Test_Reward: -19.918161056773076 || Final_Distance_to_Target: 0.15630182884394742 || Continuity_Cost: 9.08028930425644 || Reached_Distance: 0
epoch: 3 || Test_Reward: -40.73227657127254 || Final_Distance_to_Target: 0.22536264519115937 || Continuity_Cost: 14.78099524974823 || Reached_Distance: 0
epoch: 4 || Test_Reward: -40.02411047647245 || Final_Distance_to_Target: 0.1325734492320878 || Continuity_Cost: 6.7904844880104065 || Reached_Distance: 0
epoch: 5 || Test_Reward: -37.22227056418478 || Final_Distance_to_Target: 0.24670008079655872 || Continuity_Cost: 18.729355931282043 || Reached_Distance: 0
epoch: 6 || Test_Reward: -40.88423581401134 || Final_Distance_to_Target: 0.20451960480787218 || Continuity_Cost: 12.734393775463104 || Reached_Distance: 0
epoch: 7 || Test_Reward: -38.6918341142984 || Final_Distance_to_Target: 0.2795770137765784 || Continuity_Cost: 15.123583376407623 || Reached_Distance: 0
epoch: 8 || Test_Reward: -40.04155225016201 || Final_Distance_to_Target: 0.26920082265215045 || Continuity_Cost: 7.572661340236664 || Reached_Distance: 0
epoch: 9 || Test_Reward: -40.99565268959492 || Final_Distance_to_Target: 0.17577329448783047 || Continuity_Cost: 6.201332062482834 || Reached_Distance: 0
epoch: 10 || Test_Reward: -37.927492893868425 || Final_Distance_to_Target: 0.2041320708017338 || Continuity_Cost: 9.913047403097153 || Reached_Distance: 0
epoch: 11 || Test_Reward: -36.113195652787155 || Final_Distance_to_Target: 0.17428288846909631 || Continuity_Cost: 7.89123922586441 || Reached_Distance: 0
epoch: 12 || Test_Reward: -35.994559944732984 || Final_Distance_to_Target: 0.16718381035092886 || Continuity_Cost: 14.381149411201477 || Reached_Distance: 0
epoch: 13 || Test_Reward: -39.63918007850692 || Final_Distance_to_Target: 0.24659168167528667 || Continuity_Cost: 7.643451541662216 || Reached_Distance: 0
epoch: 14 || Test_Reward: -41.63999841888783 || Final_Distance_to_Target: 0.2704419483615114 || Continuity_Cost: 15.317708253860474 || Reached_Distance: 0
epoch: 15 || Test_Reward: -41.417725036816606 || Final_Distance_to_Target: 0.20624707938053136 || Continuity_Cost: 8.44012275338173 || Reached_Distance: 0
epoch: 16 || Test_Reward: -32.80138551675519 || Final_Distance_to_Target: 0.1620253198704981 || Continuity_Cost: 23.21251481771469 || Reached_Distance: 0
epoch: 17 || Test_Reward: -35.961276628760146 || Final_Distance_to_Target: 0.14109480750557007 || Continuity_Cost: 5.810418352484703 || Reached_Distance: 0
epoch: 18 || Test_Reward: -36.630495504091364 || Final_Distance_to_Target: 0.16065947728543922 || Continuity_Cost: 15.374702215194702 || Reached_Distance: 0
epoch: 19 || Test_Reward: -39.70260407883778 || Final_Distance_to_Target: 0.29741865207068247 || Continuity_Cost: 5.2584439516067505 || Reached_Distance: 0
epoch: 20 || Test_Reward: -41.489058693602246 || Final_Distance_to_Target: 0.23317469252750067 || Continuity_Cost: 14.783713221549988 || Reached_Distance: 0
epoch: 21 || Test_Reward: -39.05909875185543 || Final_Distance_to_Target: 0.2282730033464886 || Continuity_Cost: 9.463174641132355 || Reached_Distance: 0
epoch: 22 || Test_Reward: -34.7465140026563 || Final_Distance_to_Target: 0.2249443936423915 || Continuity_Cost: 11.060781031847 || Reached_Distance: 0
epoch: 23 || Test_Reward: -37.123875714478324 || Final_Distance_to_Target: 0.15796214769437364 || Continuity_Cost: 16.688987612724304 || Reached_Distance: 0
epoch: 24 || Test_Reward: -38.94793628909305 || Final_Distance_to_Target: 0.26366769059462863 || Continuity_Cost: 6.448859721422195 || Reached_Distance: 0
epoch: 25 || Test_Reward: -46.20912929168615 || Final_Distance_to_Target: 0.26769529849582585 || Continuity_Cost: 5.023884400725365 || Reached_Distance: 0
epoch: 26 || Test_Reward: -37.91541232296782 || Final_Distance_to_Target: 0.18954077563826716 || Continuity_Cost: 12.975360453128815 || Reached_Distance: 0
epoch: 27 || Test_Reward: -35.41218146050676 || Final_Distance_to_Target: 0.17754417407272602 || Continuity_Cost: 14.029072225093842 || Reached_Distance: 0
epoch: 28 || Test_Reward: -39.249525284301825 || Final_Distance_to_Target: 0.31146624798396333 || Continuity_Cost: 10.680653899908066 || Reached_Distance: 0
epoch: 29 || Test_Reward: -40.32828319185685 || Final_Distance_to_Target: 0.2309604296208244 || Continuity_Cost: 12.728965282440186 || Reached_Distance: 0
epoch: 30 || Test_Reward: -37.98516712084837 || Final_Distance_to_Target: 0.17968922586704175 || Continuity_Cost: 12.186577916145325 || Reached_Distance: 0
epoch: 31 || Test_Reward: -40.35498901485584 || Final_Distance_to_Target: 0.26888351228964097 || Continuity_Cost: 5.560925602912903 || Reached_Distance: 0
epoch: 32 || Test_Reward: -43.38419183180848 || Final_Distance_to_Target: 0.32196265642264754 || Continuity_Cost: 13.173121213912964 || Reached_Distance: 0
epoch: 33 || Test_Reward: -38.667309778235754 || Final_Distance_to_Target: 0.21127460881373733 || Continuity_Cost: 9.607091546058655 || Reached_Distance: 0
epoch: 34 || Test_Reward: -35.54946202769217 || Final_Distance_to_Target: 0.23557327133771327 || Continuity_Cost: 19.882428646087646 || Reached_Distance: 0
epoch: 35 || Test_Reward: -45.19897994814284 || Final_Distance_to_Target: 0.24301521390049385 || Continuity_Cost: 5.209282785654068 || Reached_Distance: 0
epoch: 36 || Test_Reward: -39.232348674916324 || Final_Distance_to_Target: 0.1918156788835663 || Continuity_Cost: 6.170335039496422 || Reached_Distance: 0
epoch: 37 || Test_Reward: -39.4540823991891 || Final_Distance_to_Target: 0.20103679542096523 || Continuity_Cost: 12.492027133703232 || Reached_Distance: 0
epoch: 38 || Test_Reward: -33.68951661128039 || Final_Distance_to_Target: 0.12308645258855261 || Continuity_Cost: 6.413222849369049 || Reached_Distance: 0
epoch: 39 || Test_Reward: -40.83572855647594 || Final_Distance_to_Target: 0.3808511414443849 || Continuity_Cost: 4.72366064786911 || Reached_Distance: 0
epoch: 40 || Test_Reward: -44.2162831376536 || Final_Distance_to_Target: 0.2776042548684038 || Continuity_Cost: 12.859763205051422 || Reached_Distance: 0
