epoch: 0 || Test_Reward: -28.884137005491464 || Final_Distance_to_Target: 0.07684589884771911 || Continuity_Cost: 4.9702756106853485 || Reaching_Success: 0 

epoch: 0 || Test_Reward: -32.56232495320402 || Final_Distance_to_Target: 0.04091972762222909 || Continuity_Cost: 10.230772197246552 || Reaching_Success: 0 
epoch: 0 || Test_Reward: -33.62837379632953 || Final_Distance_to_Target: 0.04319074768210743 || Continuity_Cost: 11.234693229198456 || Reaching_Success: 0 
epoch: 1 || Test_Reward: -20.085404663103056 || Final_Distance_to_Target: 0.02988290282061064 || Continuity_Cost: 10.074511170387268 || Reaching_Success: 0 
epoch: 0 || Test_Reward: -41.0315924683776 || Final_Distance_to_Target: 0.38031752781252726 || Continuity_Cost: 3.4698277711868286 || Reaching_Success: 0 
epoch: 1 || Test_Reward: -47.14814747852349 || Final_Distance_to_Target: 0.06197276387583868 || Continuity_Cost: 4.514387995004654 || Reaching_Success: 0 
epoch: 2 || Test_Reward: -56.69456805402359 || Final_Distance_to_Target: 0.1537033825762629 || Continuity_Cost: 2.7008432894945145 || Reaching_Success: 0 
epoch: 3 || Test_Reward: -38.57494162254386 || Final_Distance_to_Target: 0.07611007770736629 || Continuity_Cost: 2.740210108458996 || Reaching_Success: 0 
epoch: 4 || Test_Reward: -45.95774479892852 || Final_Distance_to_Target: 0.135116619495156 || Continuity_Cost: 1.7785927280783653 || Reaching_Success: 0 
epoch: 5 || Test_Reward: -43.48377795356964 || Final_Distance_to_Target: 0.27613568813907907 || Continuity_Cost: 12.862926721572876 || Reaching_Success: 0 
epoch: 6 || Test_Reward: -47.401298839704715 || Final_Distance_to_Target: 0.07872472852309981 || Continuity_Cost: 4.183744266629219 || Reaching_Success: 0 
epoch: 7 || Test_Reward: -58.134149642502045 || Final_Distance_to_Target: 0.19542468968841345 || Continuity_Cost: 2.0676961168646812 || Reaching_Success: 0 
epoch: 8 || Test_Reward: -51.45242092782645 || Final_Distance_to_Target: 0.2713195470612325 || Continuity_Cost: 8.021615445613861 || Reaching_Success: 0 
epoch: 9 || Test_Reward: -49.45667530817662 || Final_Distance_to_Target: 0.08524776972137378 || Continuity_Cost: 7.4556611478328705 || Reaching_Success: 0 
epoch: 10 || Test_Reward: -53.42178146005147 || Final_Distance_to_Target: 0.19440469913982417 || Continuity_Cost: 4.427170753479004 || Reaching_Success: 0 
epoch: 11 || Test_Reward: -58.86581462074673 || Final_Distance_to_Target: 0.18056299390545605 || Continuity_Cost: 3.447962924838066 || Reaching_Success: 0 
epoch: 12 || Test_Reward: -64.24803940971972 || Final_Distance_to_Target: 0.38552087118360734 || Continuity_Cost: 4.75895069539547 || Reaching_Success: 0 
epoch: 13 || Test_Reward: -68.42174961672245 || Final_Distance_to_Target: 0.3855245073215044 || Continuity_Cost: 3.2048821449279785 || Reaching_Success: 0 
epoch: 14 || Test_Reward: -68.42176227802837 || Final_Distance_to_Target: 0.3855238738834715 || Continuity_Cost: 6.62573054432869 || Reaching_Success: 0 
epoch: 15 || Test_Reward: -68.42157455907424 || Final_Distance_to_Target: 0.385526274869477 || Continuity_Cost: 1.074760314077139 || Reaching_Success: 0 
epoch: 16 || Test_Reward: -68.13561313501758 || Final_Distance_to_Target: 0.36393826631289544 || Continuity_Cost: 4.7709353268146515 || Reaching_Success: 0 
epoch: 17 || Test_Reward: -64.04216486965564 || Final_Distance_to_Target: 0.2639911757034858 || Continuity_Cost: 7.566475123167038 || Reaching_Success: 0 
epoch: 18 || Test_Reward: -62.22773761539514 || Final_Distance_to_Target: 0.25792836962041055 || Continuity_Cost: 7.587860524654388 || Reaching_Success: 0 
epoch: 19 || Test_Reward: -61.90809557429822 || Final_Distance_to_Target: 0.2413946495608964 || Continuity_Cost: 5.782994627952576 || Reaching_Success: 0 
epoch: 20 || Test_Reward: -59.555729726495926 || Final_Distance_to_Target: 0.19378047600842102 || Continuity_Cost: 7.167740166187286 || Reaching_Success: 0 
epoch: 21 || Test_Reward: -58.78840333917749 || Final_Distance_to_Target: 0.17397059495509848 || Continuity_Cost: 5.270788446068764 || Reaching_Success: 0 
epoch: 22 || Test_Reward: -58.15855429491587 || Final_Distance_to_Target: 0.17972314603841447 || Continuity_Cost: 7.888706773519516 || Reaching_Success: 0 
epoch: 23 || Test_Reward: -57.06826341591723 || Final_Distance_to_Target: 0.22409203151195667 || Continuity_Cost: 2.573747603928922e-08 || Reaching_Success: 0 
epoch: 24 || Test_Reward: -56.633524892051504 || Final_Distance_to_Target: 0.22013174275798636 || Continuity_Cost: 3.935540435207052e-09 || Reaching_Success: 0 
epoch: 25 || Test_Reward: -55.11576974989645 || Final_Distance_to_Target: 0.19742166988749674 || Continuity_Cost: 3.656318737360609e-10 || Reaching_Success: 0 
